num,a,b
1,persuade,compel
2,avoid/accommodate,collaborate
3,negotiate,support
4,persuade,avoid/accommodate
5,compel,support
6,collaborate,negotiate
7,persuade,collaborate
8,compel,negotiate
9,avoid/accommodate,support
10,persuade,negotiate
11,compel,avoid/accommodate
12,collaborate,support
13,persuade,support
14,compel,collaborate
15,avoid/accommodate,negotiate
16,compel,persuade
17,collaborate,avoid/accommodate
18,support,negotiate
19,avoid/accommodate,persuade
20,support,compel
21,negotiate,collaborate
22,collaborate,persuade
23,negotiate,compel
24,support,avoid/accommodate
25,negotiate,persuade
26,avoid/accommodate,compel
27,support,collaborate
28,support,persuade
29,collaborate,compel
30,negotiate,avoid/accommodate
31,persuade,compel
32,avoid/accommodate,collaborate
33,negotiate,support
34,persuade,avoid/accommodate
35,compel,support
36,collaborate,negotiate
37,persuade,collaborate
38,compel,negotiate
39,avoid/accommodate,support
40,persuade,negotiate
41,compel,avoid/accommodate
42,collaborate,support
43,persuade,support
44,compel,collaborate
45,avoid/accommodate,negotiate
